prijmeni	jmeno	strana	id
Bartoš	Walter	ODS	id_0019
Bauer	Jan	ODS	id_0025
Benda	Marek	ODS	id_0032
Boháč	Zdeněk	ODS	id_0053
Bohatec	Pavel	ODS	id_0055
Bratský	Petr	ODS	id_0063
Bürgermeister	Jan	ODS	id_0077
Čepelka	Jiří	ODS	id_0090
Dědič	František	ODS	id_0107
Dlouhý	Vladimír	ODS	id_0111
Doktor	Michal	ODS	id_0114
Dub	Tomáš	ODS	id_0126
Dundáčková	Eva	ODS	id_0127
Fiala	Radim	ODS	id_0138
Filipi	Dana	ODS	id_0143
Gandalovič	Petr	ODS	id_0157
Hasil	Tomáš	ODS	id_0182
Hink	Vladimír	ODS	id_0190
Horníková	Zdeňka	ODS	id_0206
Hrbata	Michael	ODS	id_0211
Hrnčíř	Pavel 	ODS	id_0212
Chytka	Radim	ODS	id_0228
Ježek	Josef	ODS	id_0242
Ježek	Libor	ODS	id_0243
Kafka	David	ODS	id_0255
Kladívko	Tomáš 	ODS	id_0272
Klas	Jan	ODS	id_0275
Klein	Jaroslav	ODS	id_0279
Kochan	Jozef	ODS	id_0289
Krajíček	Miroslav	ODS	id_0318
Krill	Petr	ODS	id_0327
Krupka	Jaroslav	ODS	id_0329
Langer	Ivan	ODS	id_0355
Laudát	František	ODS	id_0360
Lhota	Zdeněk	ODS	id_0365
Libý	Ladislav	ODS	id_0366
Mach	Zdeněk	ODS	id_0379
Mallotová	Helena	ODS	id_0384
Mencl	Václav	ODS	id_0405
Molendová	Dagmar	ODS	id_0415
Morava	Jan 	ODS	id_0417
Nečas	Petr	ODS	id_0424
Němcová	Miroslava	ODS	id_0430
Novotný	Zbyněk	ODS	id_0450
Papež	Jiří	ODS	id_0469
Páralová	Alena	ODS	id_0470
Patera	Miloš	ODS	id_0475
Petruška	Daniel	ODS	id_0499
Plachý	Jaroslav	ODS	id_0504
Plašil	Ondřej	ODS	id_0506
Pleva	Petr	ODS	id_0509
Polanský	Jiří	ODS	id_0518
Pospíšil	Jiří	ODS	id_0521
Prosek	Zdeněk	ODS	id_0526
Rádl	Aleš	ODS	id_0530
Raninec	Juraj	ODS	id_0534
Reisiegel	Daniel 	ODS	id_0539
Rovan	Daniel	ODS	id_0542
Rybínová	Jana	ODS	id_0549
Řebíček	Aleš	ODS	id_0552
Říman	Martin	ODS	id_0555
Sehoř	Karel	ODS	id_0560
Schwippel	Jan	ODS	id_0567
Sivera	František	ODS	id_0568
Suchánek	Pavel	ODS	id_0595
Suk	Lubomír	ODS	id_0596
Svoboda	Pavel	ODS	id_0603
Šeich	David	ODS	id_0615
Šmíd	Milan	ODS	id_0627
Šoltys	Vladimír	ODS	id_0632
Špika	Jan	ODS	id_0635
Šťastný	Boris	ODS	id_0638
Talmanová	Lucie	ODS	id_0649
Tluchoř	Petr	ODS	id_0656
Tlustý	Vlastimil	ODS	id_0657
Topolánek	Mirek 	ODS	id_0660
Úlehla	Tomáš	ODS	id_0670
Vidím	Jan	ODS	id_0689
Vilímec	Vladislav	ODS	id_0692
Vojíř	Oldřich	ODS	id_0700
Zajíček	Tom	ODS	id_0737
Aubrecht	Vlastimil	ČSSD	id_0010
Babor	Jan	ČSSD	id_0015
Bohdalová	Vlasta	ČSSD	id_0056
Böhnisch	Robin	ČSSD	id_0057
Bublan	František	ČSSD	id_0072
Čerňanský	Josef	ČSSD	id_0092
Černý	Karel	ČSSD	id_0099
Červenka	Petr	ČSSD	id_0100
Čurdová	Anna	ČSSD	id_0105
Dimitrov	Kosta	ČSSD	id_0109
Dolejš	Richard	ČSSD	id_0116
Dušek	Robert 	ČSSD	id_0128
Fiala	Jaroslav	ČSSD	id_0136
Grüner	Václav	ČSSD	id_0170
Hamáček	Jan	ČSSD	id_0176
Hašek	Michal 	ČSSD	id_0183
Chalupa	Jaromír	ČSSD	id_0222
Jandák	Vítězslav	ČSSD	id_0235
Jičínský	Zdeněk	ČSSD	id_0244
Kala	Miloslav 	ČSSD	id_0257
Kalábková	Gabriela	ČSSD	id_0258
Klučka	Václav	ČSSD	id_0280
Korytář	Karel 	ČSSD	id_0300
Krákora	Jaroslav	ČSSD	id_0319
Krátký	Jiří	ČSSD	id_0337
Kratochvíle	Karel	ČSSD	id_0323
Křeček	Stanislav	ČSSD	id_0330
Kubuš	Pavol	ČSSD	id_0336
Kufa	Rudolf	ČSSD	id_0343
Látka	Jan	ČSSD	id_0359
Lesenská	Vladimíra	ČSSD	id_0362
Martínek	Radko 	ČSSD	id_0391
Mazuchová	Lenka	ČSSD	id_0401
Melčák	Miloš	ČSSD	id_0403
Mertinová	Marcela	ČSSD	id_0406
Michalík	Alfréd	ČSSD	id_0409
Novosad	František	ČSSD	id_0446
Ohlídal	Ivan	ČSSD	id_0455
Orgoníková	Hana	ČSSD	id_0463
Paroubek	Jiří	ČSSD	id_0472
Petr	Břetislav	ČSSD	id_0495
Petrů	Jiří	ČSSD	id_0498
Ploc	Pavel	ČSSD	id_0511
Pohanka	Michal 	ČSSD	id_0514
Rafaj	Petr 	ČSSD	id_0531
Rath	David	ČSSD	id_0536
Řihák	Josef 	ČSSD	id_0554
Seďa	Antonín	ČSSD	id_0556
Skopal	Ladislav	ČSSD	id_0572
Smýkal	Josef	ČSSD	id_0578
Snítilý	Evžen	ČSSD	id_0579
Sobotka	Bohuslav	ČSSD	id_0581
Soušek	Miloslav	ČSSD	id_0584
Sunkovský	Petr	ČSSD	id_0597
Svoboda	Miroslav	ČSSD	id_0601
Šedivá	Hana	ČSSD	id_0613
Šincl	Ladislav	ČSSD	id_0620
Škromach	Zdeněk	ČSSD	id_0624
Šlajs	Václav	ČSSD	id_0625
Šplíchal	Karel	ČSSD	id_0636
Tejc	Jeroným	ČSSD	id_0651
Tesařík	Martin 	ČSSD	id_0653
Urban	Milan	ČSSD	id_0672
Valouch	Jindřich	ČSSD	id_0681
Váňa	Miroslav	ČSSD	id_0682
Vanoušek	Pavel	ČSSD	id_0685
Vlček	Miloslav	ČSSD	id_0695
Vnouček	František 	ČSSD	id_0697
Votava	Václav	ČSSD	id_0712
Wolf	Petr	ČSSD	id_0730
Zaorálek	Lubomír	ČSSD	id_0739
Zapletal	Cyril	ČSSD	id_0740
Zelenková	Ladislava	ČSSD	id_0743
Zgarba	Petr	ČSSD	id_0750
Bayerová	Marta 	KSČM	id_0026
Bebarová Rujbrová	Zuzka	KSČM	id_0027
Bičík	Milan	KSČM	id_0046
Braný	Petr	KSČM	id_0061
Černý	Alexander	KSČM	id_0097
Dolejš	Jiří	KSČM	id_0115
Exner	Václav	KSČM	id_0132
Fialová	Jiřina	KSČM	id_0139
Filip	Vojtěch	KSČM	id_0142
Grebeníček	Miroslav	KSČM	id_0163
Grospič	Stanislav	KSČM	id_0167
Halíková	Milada	KSČM	id_0175
Hojda	Pavel	KSČM	id_0194
Konečná	Kateřina	KSČM	id_0294
Koníček	Vladimír	KSČM	id_0296
Kováčik	Pavel	KSČM	id_0315
Levá	Ivana	KSČM	id_0364
Marková	Soňa	KSČM	id_0389
Maršíček	Zdeněk	KSČM	id_0390
Mlčák	Ladislav	KSČM	id_0412
Opálka	Miroslav	KSČM	id_0461
Snopek	Václav	KSČM	id_0580
Šenfeld	Josef	KSČM	id_0616
Šidlo	Karel	KSČM	id_0617
Vondruška	Josef	KSČM	id_0710
Vostrá	Miloslava	KSČM	id_0711
Ambrozek	Libor	KDU-ČSL	id_0005
Carbol	Jiří	KDU-ČSL	id_0082
Hanuš	Jiří	KDU-ČSL	id_0180
Hovorka	Ludvík	KDU-ČSL	id_0209
Kalousek	Miroslav	KDU-ČSL	id_0259
Kasal	Jan	KDU-ČSL	id_0269
Kvapil	Tomáš	KDU-ČSL	id_0350
Parkanová	Vlasta	KDU-ČSL	id_0471
Severa	Pavel	KDU-ČSL	id_0562
Svoboda	Cyril	KDU-ČSL	id_0599
Šimonovský	Milan 	KDU-ČSL	id_0618
Šojdrová	Michaela	KDU-ČSL	id_0631
Šustr	Ladislav	KDU-ČSL	id_0645
Bursík	Martin	SZ	id_0078
Jacques	Kateřina	SZ	id_0230
Jakubková	Věra	SZ	id_0232
Liška	Ondřej	SZ	id_0367
Rabas	Přemysl	SZ	id_0529
Zubová	Olga	SZ	id_0756
