prijmeni	jmeno	strana	id
Aubrecht	Vlastimil	ČSSD	id_0010
Bašta	Jaroslav	ČSSD	id_0023
Bláha	Jan	ČSSD	id_0051
Boháčková	Jarmila	ČSSD	id_0054
Brožík	František	ČSSD	id_0066
Brtnický	Jiří	ČSSD	id_0067
Buzková	Petra	ČSSD	id_0079
Cisár	Vladimír	ČSSD	id_0084
Černý	Karel	ČSSD	id_0099
Čevela	Rostislav	ČSSD	id_0102
David	Ivan	ČSSD	id_0106
Dostál	Pavel	ČSSD	id_0120
Ekert	Milan	ČSSD	id_0130
Emmerová	Milada	ČSSD	id_0131
Fischerová	Eva	ČSSD	id_0145
Grega	Andrej	ČSSD	id_0164
Grégr	Miroslav	ČSSD	id_0166
Gross	Stanislav	ČSSD	id_0168
Grulich	Václav	ČSSD	id_0169
Grüner	Václav	ČSSD	id_0170
Hofman	Jiří	ČSSD	id_0193
Hojdar	Josef	ČSSD	id_0195
Hönig	Pavel	ČSSD	id_0204
Hradil	Vladimír	ČSSD	id_0210
Chobot	František	ČSSD	id_0225
Jičínský	Zdeněk	ČSSD	id_0244
Jungová	Yvona	ČSSD	id_0251
Kapoun	Miroslav	ČSSD	id_0264
Kopecký	Robert	ČSSD	id_0297
Kostrhun	Jan	ČSSD	id_0305
Koudelka	Zdeněk	ČSSD	id_0314
Kraus	Michal	ČSSD	id_0324
Křeček	Stanislav	ČSSD	id_0330
Kučera	Miloslav	ČSSD	id_0339
Kuneš	Michael	ČSSD	id_0346
Kupčová	Jitka	ČSSD	id_0347
Laštůvka	Vladimír	ČSSD	id_0358
Máče	Miroslav	ČSSD	id_0377
Macháček	Antonín	ČSSD	id_0380
Maňásek	Jaroslav	ČSSD	id_0385
Martínek	Radko	ČSSD	id_0391
Orgoníková	Hana	ČSSD	id_0463
Palas	Jaroslav	ČSSD	id_0468
Petr	Břetislav	ČSSD	id_0495
Pícl	Václav	ČSSD	id_0501
Polášek	Luděk	ČSSD	id_0519
Sehnalová	Olga	ČSSD	id_0559
Schling	Jaromír	ČSSD	id_0564
Skopal	Ladislav	ČSSD	id_0572
Snítilý	Evžen	ČSSD	id_0579
Sobotka	Bohuslav	ČSSD	id_0581
Starec	Martin	ČSSD	id_0587
Stránská	Zdeňka	ČSSD	id_0588
Škromach	Zdeněk	ČSSD	id_0624
Španbauer	František 	ČSSD	id_0633
Špidla	Vladimír	ČSSD	id_0634
Šplíchal	Karel	ČSSD	id_0636
Štěpová	Vlasta	ČSSD	id_0639
Šulák	Petr	ČSSD	id_0643
Tešnar	Dušan	ČSSD	id_0654
Titz	Miloš	ČSSD	id_0655
Tomíček	Rudolf	ČSSD	id_0659
Turek	Radim	ČSSD	id_0665
Urban	Milan	ČSSD	id_0672
Václavek	Jiří	ČSSD	id_0676
Vejvoda	Josef	ČSSD	id_0687
Vlček	Miloslav	ČSSD	id_0695
Vnouček	František	ČSSD	id_0697
Volfová	Jana	ČSSD	id_0705
Vymětal	Vojtěch	ČSSD	id_0722
Zaorálek	Lubomír	ČSSD	id_0739
Zeman	Eduard	ČSSD	id_0745
Zeman	Miloš	ČSSD	id_0746
Žižka	Jan	ČSSD	id_0760
Bartoš	Walter	ODS	id_0019
Benda	Marek	ODS	id_0032
Bendl	Petr	ODS	id_0034
Beneš	Miroslav	ODS	id_0035
Bílý	Jiří	ODS	id_0048
Brousek	Václav	ODS	id_0065
Bubník	Augustin	ODS	id_0073
Cabrnoch	Milan	ODS	id_0081
Doktor	Michal	ODS	id_0114
Doležal	Vladimír	ODS	id_0117
Dostálová	Kateřina	ODS	id_0121
Drda	Jiří	ODS	id_0124
Dundáčková	Eva	ODS	id_0127
Hanuš	Václav	ODS	id_0181
Horníková	Zdeňka	ODS	id_0206
Hort	Petr	ODS	id_0207
Hrnčíř	Pavel	ODS	id_0212
Chytka	Radim	ODS	id_0228
Jalůvka	Josef	ODS	id_0234
Ježek	Josef	ODS	id_0242
Ježek	Libor	ODS	id_0243
Kladívko	Tomáš	ODS	id_0272
Klas	Jan	ODS	id_0275
Klaus	Václav	ODS	id_0278
Kocourek	Martin	ODS	id_0282
Koháček	Petr	ODS	id_0286
Krajíček	Miroslav	ODS	id_0318
Krátký	Libor	ODS	id_0322
Krejčí	Josef	ODS	id_0325
Kučera	Miloslav	ODS	id_0340
Lang	Pavel	ODS	id_0354
Langer	Ivan	ODS	id_0355
Melichar	Jaroslav	ODS	id_0404
Nájemník	Václav	ODS	id_0419
Nečas	Petr	ODS	id_0424
Nedvědová	Veronika	ODS	id_0426
Němcová	Miroslava	ODS	id_0430
Němec	Stanislav	ODS	id_0434
Ouzký	Miroslav	ODS	id_0465
Papež	Jiří	ODS	id_0469
Páralová	Alena	ODS	id_0470
Patočka	Jiří	ODS	id_0476
Payne	Jiří	ODS	id_0480
Pejřil	František	ODS	id_0484
Pešán	Jaroslav	ODS	id_0491
Plachý	Jaroslav	ODS	id_0504
Pleva	Petr	ODS	id_0509
Rozehnal	Aleš	ODS	id_0543
Sehoř	Karel	ODS	id_0560
Suchánek	Pavel	ODS	id_0595
Svoboda	Jan	ODS	id_0600
Švrček	Zdeněk	ODS	id_0647
Talmanová	Lucie	ODS	id_0649
Teplík	Tomáš	ODS	id_0652
Tlustý	Vlastimil	ODS	id_0657
Vávra	Eduard	ODS	id_0686
Vidím	Jan	ODS	id_0689
Vojíř	Oldřich	ODS	id_0700
Zahradil	Jan	ODS	id_0731
Zajíček	Tom	ODS	id_0737
Záruba	Bohuslav	ODS	id_0741
Zuna	Milan	ODS	id_0757
Zvěřina	Jaroslav	ODS	id_0758
Bebarová Rujbrová	Zuzka	KSČM	id_0027
Brynychová	Ludmila	KSČM	id_0068
Čelišová	Květoslava	KSČM	id_0089
Exner	Václav	KSČM	id_0132
Filip	Vojtěch	KSČM	id_0142
Fischer	Stanislav	KSČM	id_0144
Frank	Václav	KSČM	id_0151
Gongol	Jaroslav	KSČM	id_0162
Grebeníček	Miroslav	KSČM	id_0163
Hojda	Pavel	KSČM	id_0194
Houzák	Josef	KSČM	id_0208
Jirousová	Taťána	KSČM	id_0246
Klanica	Zdeněk	KSČM	id_0274
Kohlíček	Jaromír	KSČM	id_0287
Kováčik	Pavel	KSČM	id_0315
Mandík	Josef	KSČM	id_0386
Maštálka	Jiří	KSČM	id_0396
Matulka	Dalibor	KSČM	id_0398
Ransdorf	Miloslav	KSČM	id_0535
Recman	Svatomír	KSČM	id_0537
Svobodová	Alena	KSČM	id_0605
Štrait	Jaroslav	KSČM	id_0642
Vlčková	Miroslava	KSČM	id_0696
Vymětal	Karel	KSČM	id_0721
Ambrozek	Libor	KDU-ČSL	id_0005
Grůza	Jan	KDU-ČSL	id_0172
Holáň	Vilém	KDU-ČSL	id_0196
Janeček	Josef	KDU-ČSL	id_0237
Kalousek	Miroslav	KDU-ČSL	id_0259
Karas	Jiří	KDU-ČSL	id_0266
Kasal	Jan	KDU-ČSL	id_0269
Kvapil	Tomáš	KDU-ČSL	id_0350
Lobkowicz	Jaroslav	KDU-ČSL	id_0368
Lux	Josef	KDU-ČSL	id_0374
Müllerová	Ludmila	KDU-ČSL	id_0418
Parkanová	Vlasta	KDU-ČSL	id_0471
Severa	Pavel	KDU-ČSL	id_0562
Svoboda	Cyril	KDU-ČSL	id_0599
Šafařík	Pavel	KDU-ČSL	id_0609
Šojdrová	Michaela	KDU-ČSL	id_0631
Šustr	Ladislav	KDU-ČSL	id_0645
Talíř	Jaromír	KDU-ČSL	id_0648
Tollner	Pavel	KDU-ČSL	id_0658
Výborný	Miloslav	KDU-ČSL	id_0719
Hanačíková	Ivana	US	id_0178
Korbel	Ladislav	US	id_0298
Kořistka	Zdeněk	US	id_0303
Krása	Václav	US	id_0321
Kühnl	Karel	US	id_0344
Lobkowicz 	Michal	US	id_0369
Machatá	Marie	US	id_0381
Mareš	Petr	US	id_0388
Matějů	Petr	US	id_0397
Mihaličková	Monika	US	id_0407
Mlynář	Vladimír	US	id_0413
Němec	Pavel	US	id_0432
Ondruš	František	US	id_0460
Paulík	Vladimír	US	id_0477
Pešek	Pavel	US	id_0492
Pilip	Ivan	US	id_0502
Svoboda	Pavel	US	id_0602
Vlach	Jiří	US	id_0694
Volák	Stanislav	US	id_0703
