prijmeni	jmeno	strana	id
Antonín	Pavel	ČSSD	id_0009
Babor	Jan	ČSSD	id_0015
Bohdalová	Vlasta	ČSSD	id_0056
Böhnisch	Robin	ČSSD	id_0057
Bublan	František	ČSSD	id_0072
Černý	Karel	ČSSD	id_0099
Dolejš	Richard	ČSSD	id_0116
Emmerová	Milada	ČSSD	id_0131
Foldyna	Jaroslav	ČSSD	id_0150
Hamáček	Jan	ČSSD	id_0176
Hašek	Michal	ČSSD	id_0183
Holík	Pavel	ČSSD	id_0201
Hulinský	Petr	ČSSD	id_0216
Chvojka	Jan	ČSSD	id_0227
Jalowiczor	Petr	ČSSD	id_0233
Jandák	Vítězslav	ČSSD	id_0235
Klučka	Václav	ČSSD	id_0280
Koskuba	Jiří	ČSSD	id_0304
Krákora	Jaroslav	ČSSD	id_0319
Krátký	Jiří	ČSSD	id_0337
Křeček	Stanislav	ČSSD	id_0330
Látka	Jan	ČSSD	id_0359
Lesenská	Vladimíra	ČSSD	id_0362
Michalík	Alfréd	ČSSD	id_0409
Neubauer	Václav	ČSSD	id_0437
Novosad	František	ČSSD	id_0446
Novotný	Josef	ČSSD	id_0447
Ohlídal	Ivan	ČSSD	id_0455
Orgoníková	Hana	ČSSD	id_0463
Paroubek	Jiří	ČSSD	id_0472
Pecina	Martin	ČSSD	id_0482
Petrů	Jiří	ČSSD	id_0498
Ploc	Pavel	ČSSD	id_0511
Rath	David	ČSSD	id_0536
Rykala	Adam	ČSSD	id_0550
Seďa	Antonín	ČSSD	id_0556
Sklenák	Roman	ČSSD	id_0570
Skopal	Ladislav	ČSSD	id_0572
Smýkal	Josef	ČSSD	id_0578
Sobotka	Bohuslav	ČSSD	id_0581
Šincl	Ladislav	ČSSD	id_0620
Škromach	Zdeněk	ČSSD	id_0624
Šlégr	Jiří	ČSSD	id_0626
Tancoš	Josef	ČSSD	id_0650
Tejc	Jeroným	ČSSD	id_0651
Urban	Milan	ČSSD	id_0672
Váhalová	Dana	ČSSD	id_0677
Váňa	Miroslav	ČSSD	id_0682
Váňa	Roman	ČSSD	id_0683
Vandas	Jaroslav	ČSSD	id_0684
Velebný	Ladislav	ČSSD	id_0688
Votava	Václav	ČSSD	id_0712
Zaorálek	Lubomír	ČSSD	id_0739
Zapletal	Cyril	ČSSD	id_0740
Zemánek	Jiří	ČSSD	id_0747
