prijmeni	jmeno	strana	id
Bartoš	Vladimír	ODS	id_0018
Bartošková	Drahoslava	ODS	id_0021
Bařinka	Vlastimil	ODS	id_0022
Benda	Marek	ODS	id_0032
Březina	Tomáš	ODS	id_0070
Budinský	Vladimír	ODS	id_0074
Bureš	Eduard	ODS	id_0075
Čermák	Petr	ODS	id_0091
Černý	Jan	ODS	id_0098
Fójcik	Vavřinec	ODS	id_0149
Frankl	Michal	ODS	id_0152
Holub	Josef	ODS	id_0202
Honajzer	Jiří	ODS	id_0203
Horníková	Zdeňka	ODS	id_0206
Huml	Ondřej	ODS	id_0217
Kalus	Jaromír	ODS	id_0260
Klas	Jan	ODS	id_0275
Klaus	Václav	ODS	id_0278
Kočárník	Ivan	ODS	id_0283
Koháček	Petr	ODS	id_0286
Kolář	Robert	ODS	id_0290
Kolářová	Milena	ODS	id_0291
Koucký	Jan	ODS	id_0313
Krása	Václav	ODS	id_0321
Květák	Tomáš	ODS	id_0351
Langer	Ivan	ODS	id_0355
Lobkowicz	Michal	ODS	id_0369
Marcová-Petrová	Jana	ODS	id_0387
Marvanová	Hana	ODS	id_0393
Melichar	Jaroslav	ODS	id_0404
Nájemník	Václav	ODS	id_0419
Nečas	Petr	ODS	id_0424
Nejezchleb	Karel	ODS	id_0428
Novák	František	ODS	id_0439
Novák	Jiří	ODS	id_0441
Novák	Libor	ODS	id_0442
Papež	Jiří	ODS	id_0469
Páv	Tomáš	ODS	id_0478
Payne	Jiří	ODS	id_0480
Pěnička	Stanislav	ODS	id_0489
Pešán	Jaroslav	ODS	id_0491
Pešek	Pavel	ODS	id_0492
Pilip	Ivan	ODS	id_0502
Plachý	Jaroslav	ODS	id_0504
Plechatá	Ivana	ODS	id_0507
Pleva	Petr	ODS	id_0509
Přibáň	Martin	ODS	id_0527
Röschová	Anna	ODS	id_0540
Ruml	Jan	ODS	id_0545
Sehoř	Karel	ODS	id_0560
Stráský	Jan	ODS	id_0589
Švrček	Zdeněk	ODS	id_0647
Tlustý	Vlastimil	ODS	id_0657
Třebický	Jan	ODS	id_0662
Tyl	Miroslav	ODS	id_0667
Uhde	Milan	ODS	id_0668
Ullmann	Josef	ODS	id_0671
Vidím	Jan	ODS	id_0689
Vlach	Jiří	ODS	id_0694
Vodička	Jindřich	ODS	id_0698
Vojíř	Oldřich	ODS	id_0700
Volák	Stanislav	ODS	id_0703
Vrzal	Ivan	ODS	id_0717
Zajíček	Zdeněk	ODS	id_0738
Zemina	Ondřej	ODS	id_0749
Zieleniec	Josef	ODS	id_0751
Zima	Anton	ODS	id_0752
Zvěřina	Jaroslav	ODS	id_0758
Bašta	Jaroslav	ČSSD	id_0023
Bláha	Jan	ČSSD	id_0051
Brožík	František	ČSSD	id_0066
Buzková	Petra	ČSSD	id_0079
Cisár	Vladimír	ČSSD	id_0084
Čech	František	ČSSD	id_0087
Čevela	Rostislav	ČSSD	id_0102
Dostál	Pavel	ČSSD	id_0120
Ekert	Milan	ČSSD	id_0130
Emmerová	Milada	ČSSD	id_0131
Fischerová	Eva	ČSSD	id_0145
Gavlasová	Jana	ČSSD	id_0158
