prijmeni	jmeno	strana	id
Aubrecht 	Vlastimil	ČSSD	id_0010
Boháčková 	Jarmila	ČSSD	id_0054
Buzková 	Petra	ČSSD	id_0079
Čada 	Vladimír	ČSSD	id_0086
Černý 	Karel	ČSSD	id_0099
Čurdová 	Anna	ČSSD	id_0105
Dostál 	Pavel	ČSSD	id_0120
Ekert 	Milan	ČSSD	id_0130
Emmerová 	Milada	ČSSD	id_0131
Gross 	Stanislav	ČSSD	id_0168
Hašek 	Michal	ČSSD	id_0183
Hojdar 	Josef	ČSSD	id_0195
Hönig 	Pavel	ČSSD	id_0204
Ibl 	Petr	ČSSD	id_0229
Kala 	Miloslav	ČSSD	id_0257
Kapoun 	Miroslav	ČSSD	id_0264
Kavan 	Jan	ČSSD	id_0271
Kopecký 	Robert	ČSSD	id_0297
Koudelka 	Zdeněk	ČSSD	id_0314
Krákora 	Jaroslav	ČSSD	id_0319
Kraus 	Michal	ČSSD	id_0324
Křeček 	Stanislav	ČSSD	id_0330
Kubinyi 	Jozef	ČSSD	id_0334
Kupčová 	Jitka	ČSSD	id_0347
Kužvart 	Miloš	ČSSD	id_0349
Lachnit 	Petr	ČSSD	id_0353
Laštůvka 	Vladimír	ČSSD	id_0358
Macháček 	Antonín	ČSSD	id_0380
Martínek 	Radko	ČSSD	id_0391
Melčák 	Miloš	ČSSD	id_0403
Michalík 	Alfréd	ČSSD	id_0409
Mikuta 	Josef	ČSSD	id_0410
Mládek 	Jan	ČSSD	id_0411
Němec 	Oldřich	ČSSD	id_0435
Nováková 	Eva	ČSSD	id_0444
Orgoníková 	Hana	ČSSD	id_0463
Palas 	Jaroslav	ČSSD	id_0468
Rafaj 	Petr	ČSSD	id_0531
Rouček 	Libor	ČSSD	id_0541
Rusnok 	Jiří	ČSSD	id_0546
Řihák 	Josef	ČSSD	id_0554
Seďa 	Antonín	ČSSD	id_0556
Schling 	Jaromír	ČSSD	id_0564
Skopal 	Ladislav	ČSSD	id_0572
Smýkal 	Josef	ČSSD	id_0578
Snítilý 	Evžen	ČSSD	id_0579
Sobotka 	Bohuslav	ČSSD	id_0581
Strnad 	František	ČSSD	id_0590
Svoboda 	Miroslav	ČSSD	id_0601
Sýkora 	Antonín	ČSSD	id_0608
Šedivá 	Hana	ČSSD	id_0613
Šedivá 	Iva	ČSSD	id_0614
Škromach 	Zdeněk	ČSSD	id_0624
Špidla 	Vladimír	ČSSD	id_0634
Šplíchal 	Karel	ČSSD	id_0636
Šulák 	Petr	ČSSD	id_0643
Titz 	Miloš	ČSSD	id_0655
Tomíček 	Rudolf	ČSSD	id_0659
Třešňák 	Jiří	ČSSD	id_0663
Turek 	Radim	ČSSD	id_0665
Tvrdík 	Jaroslav	ČSSD	id_0666
Urban 	Milan	ČSSD	id_0672
Václavek 	Jiří	ČSSD	id_0676
Váňa 	Miroslav	ČSSD	id_0682
Vlček 	Miloslav	ČSSD	id_0695
Vojtilová 	Jitka	ČSSD	id_0701
Votava 	Václav	ČSSD	id_0712
Zaorálek 	Lubomír	ČSSD	id_0739
Zeman 	Eduard	ČSSD	id_0745
Zgarba 	Petr	ČSSD	id_0750
Bartoš 	Walter	ODS	id_0019
Beneš 	Miroslav	ODS	id_0035
Bílý 	Jiří	ODS	id_0048
Bíža 	Josef	ODS	id_0050
Bratský 	Petr	ODS	id_0063
Cabrnoch	Milan	ODS	id_0081
Doktor 	Michal	ODS	id_0114
Doležal 	Vladimír	ODS	id_0117
Dostálová 	Kateřina	ODS	id_0121
Dub 	Tomáš	ODS	id_0126
Dundáčková 	Eva	ODS	id_0127
Fajmon 	Hynek	ODS	id_0133
Hasil 	Tomáš	ODS	id_0182
Horníková 	Zdeňka	ODS	id_0206
Hrnčíř 	Pavel	ODS	id_0212
Chytka 	Radim	ODS	id_0228
Ježek 	Libor	ODS	id_0243
Kladívko 	Tomáš	ODS	id_0272
Klas 	Jan	ODS	id_0275
Klaus 	Václav	ODS	id_0278
Kocourek 	Martin	ODS	id_0282
Kott 	Petr	ODS	id_0310
Krajíček 	Miroslav	ODS	id_0318
Krill 	Petr	ODS	id_0327
Kučera 	Miloslav	ODS	id_0340
Langer 	Ivan	ODS	id_0355
Mallotová 	Helena	ODS	id_0384
Mencl 	Václav	ODS	id_0405
Nájemník 	Václav	ODS	id_0419
Nečas 	Petr	ODS	id_0424
Nedvědová 	Veronika	ODS	id_0426
Němcová 	Miroslava	ODS	id_0430
Novotný 	Zbyněk	ODS	id_0450
Ouzký 	Miroslav	ODS	id_0465
Papež 	Jiří	ODS	id_0469
Páralová 	Alena	ODS	id_0470
Pátek 	Miroslav	ODS	id_0474
Patera 	Miloš	ODS	id_0475
Patočka 	Jiří	ODS	id_0476
Pešán 	Jaroslav	ODS	id_0491
Plachý 	Jaroslav	ODS	id_0504
Pleva 	Petr	ODS	id_0509
Pospíšil 	Jiří	ODS	id_0521
Říman 	Martin	ODS	id_0555
Sehoř 	Karel	ODS	id_0560
Suchánek 	Pavel	ODS	id_0595
Suk 	Lubomír	ODS	id_0596
Šeich 	David	ODS	id_0615
Talmanová 	Lucie	ODS	id_0649
Teplík 	Tomáš	ODS	id_0652
Tlustý 	Vlastimil	ODS	id_0657
Vávra 	Eduard	ODS	id_0686
Vidím 	Jan	ODS	id_0689
Vojíř 	Oldřich	ODS	id_0700
Zahradil 	Jan	ODS	id_0731
Zajíček 	Tom	ODS	id_0737
Záruba 	Bohuslav	ODS	id_0741
Zvěřina 	Jaroslav	ODS	id_0758
Antolák 	Vlastislav	KSČM	id_0008
Bayerová 	Marta	KSČM	id_0026
Bebarová Rujbrová	Zuzka	KSČM	id_0027
Beneš 	František	KSČM	id_0036
Bičík 	Milan	KSČM	id_0046
Braný 	Petr	KSČM	id_0061
Brynychová 	Ludmila	KSČM	id_0068
Býček 	Ladislav	KSČM	id_0080
Čelišová 	Květoslava	KSČM	id_0089
Černý 	Alexander	KSČM	id_0097
Dlab 	Vlastimil	KSČM	id_0110
Dolejš 	Jiří	KSČM	id_0115
Exner 	Václav	KSČM	id_0132
Fialová 	Jiřina	KSČM	id_0139
Filip 	Vojtěch	KSČM	id_0142
Frank 	Václav	KSČM	id_0151
Gongol 	Jaroslav	KSČM	id_0162
Grebeníček 	Miroslav	KSČM	id_0163
Grospič 	Stanislav	KSČM	id_0167
Gruntová 	Jitka	KSČM	id_0171
Hojda 	Pavel	KSČM	id_0194
Houzák 	Josef	KSČM	id_0208
Kohlíček 	Jaromír	KSČM	id_0287
Konečná 	Kateřina	KSČM	id_0294
Koníček 	Vladimír	KSČM	id_0296
Kováčik 	Pavel	KSČM	id_0315
Levá 	Ivana	KSČM	id_0364
Mandík 	Josef	KSČM	id_0386
Marková 	Soňa	KSČM	id_0389
Maštálka	Jiří	KSČM	id_0396
Mlčák 	Ladislav	KSČM	id_0412
Opálka 	Miroslav	KSČM	id_0461
Ransdorf 	Miloslav	KSČM	id_0535
Recman 	Svatomír	KSČM	id_0537
Rusová 	Marie	KSČM	id_0547
Šenfeld 	Josef	KSČM	id_0616
Urban 	Ladislav	KSČM	id_0673
Vlčková 	Miroslava	KSČM	id_0696
Vostrá 	Miloslava	KSČM	id_0711
Vymětal 	Karel	KSČM	id_0721
Zralý 	Antonín	KSČM	id_0755
Ambrozek 	Libor	KDU-ČSL	id_0005
Grůza 	Jan	KDU-ČSL	id_0172
Hanuš 	Jiří	KDU-ČSL	id_0180
Holáň 	Vilém	KDU-ČSL	id_0196
Hovorka 	Ludvík	KDU-ČSL	id_0209
Janeček 	Josef	KDU-ČSL	id_0237
Kalousek 	Miroslav	KDU-ČSL	id_0259
Karas 	Jiří	KDU-ČSL	id_0266
Karásek 	Svatopluk	KDU-ČSL	id_0267
Kasal 	Jan	KDU-ČSL	id_0269
Kvapil 	Tomáš	KDU-ČSL	id_0350
Lobkowicz 	Jaroslav	KDU-ČSL	id_0368
Parkanová 	Vlasta	KDU-ČSL	id_0471
Říha 	Vladimír	KDU-ČSL	id_0553
Svoboda 	Cyril	KDU-ČSL	id_0599
Škopík 	Jan	KDU-ČSL	id_0622
Šojdrová 	Michaela	KDU-ČSL	id_0631
Šustr 	Ladislav	KDU-ČSL	id_0645
Talíř 	Jaromír	KDU-ČSL	id_0648
Vícha 	Josef	KDU-ČSL	id_0690
Výborný 	Miloslav	KDU-ČSL	id_0719
Vykydal 	Ivo	KDU-ČSL	id_0720
Bielesz 	Marian	US-DEU	id_0047
Fischerová 	Táňa	US-DEU	id_0147
Kühnl 	Karel	US-DEU	id_0344
Marvanová 	Hana	US-DEU	id_0393
Mlynář 	Vladimír	US-DEU	id_0413
Němec 	Pavel	US-DEU	id_0432
Ostrý 	Vlastimil	US-DEU	id_0464
Pelc 	František	US-DEU	id_0487
Svoboda 	Pavel	US-DEU	id_0602
